Event	ID	Name			Wwise Object Path	Notes
	1273958970	Play_GoodTarget_Sound			\Default Work Unit\Gameplay\Play_GoodTarget_Sound	
	2004433286	Play_Bomb_Target			\Default Work Unit\Gameplay\Play_Bomb_Target	
	3024796816	Play_Target_throw			\Default Work Unit\Gameplay\Play_Target_throw	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1564184899	SFX_Volume			\Default Work Unit\SFX_Volume	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	18261518	retro_eat_collect_01	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_eat_collect_01_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 1\retro_eat_collect_01		802
	116615151	retro_jump_bounce_12	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_jump_bounce_12_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Target_Throw\retro_jump_bounce_12		735
	144320302	retro_explosion_short_01	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_explosion_short_03_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Bombs\Bomb 3\retro_explosion_short_01		928
	180916797	retro_explosion_deep_04	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_explosion_deep_04_EA47D305.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Bombs\Bomb 3\retro_explosion_deep_04		5542
	189194074	retro_jump_bounce_04	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_jump_bounce_04_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Target_Throw\retro_jump_bounce_04		1504
	324184324	retro_explosion_deep_03	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_explosion_deep_03_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Bombs\Bomb 2\retro_explosion_deep_03		4423
	418627354	retro_jump_bounce_09	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_jump_bounce_09_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Target_Throw\retro_jump_bounce_09		1102
	484142301	retro_collect_pickup_item_04	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_collect_pickup_item_04_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 4\retro_collect_pickup_item_04		3790
	516564629	retro_collect_pickup_item_01	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_collect_pickup_item_01_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 1\retro_collect_pickup_item_01		2439
	538708946	retro_eat_collect_05	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_eat_collect_05_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 4\retro_eat_collect_05		2595
	598928391	retro_explosion_short_01	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_explosion_short_02_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Bombs\Bomb 2\retro_explosion_short_01		1570
	661637772	retro_jump_bounce_18	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_jump_bounce_18_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Target_Throw\retro_jump_bounce_18		892
	675904116	retro_explosion_deep_02	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_explosion_deep_02_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Bombs\Bomb 1\retro_explosion_deep_02		5740
	833137413	retro_eat_collect_03	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_eat_collect_03_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 3\retro_eat_collect_03		1187
	966560515	retro_collect_pickup_item_02	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_collect_pickup_item_02_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 2\retro_collect_pickup_item_02		2139
	987463870	retro_explosion_short_01	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_explosion_short_01_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Bombs\Bomb 1\retro_explosion_short_01		1618
	1021010064	retro_collect_pickup_item_03	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_collect_pickup_item_03_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 3\retro_collect_pickup_item_03		3358
	1045614422	retro_eat_collect_02	Y:\Unity\Git\Click-Clack\Prototype 5_WwiseProject\.cache\Windows\SFX\retro_eat_collect_02_EB0C5B6A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Gameplay\Good Targets\Good Target Blender 2\retro_eat_collect_02		1567

